,andrew,conference,cricket
Error Prevention,3.62,3.58,3.55
Visibility of System Status,4.11,4,3.82
Consistency and Standard,3.94,3.93,3.82
User control and Freedom,4.22,4.22,4.24
Match between System and the Real World,4.43,4.44,4.48
Help and Documentation,4.11,4.2,4.3
Recognition rather than recall,4.31,4.3,4.29
Aesthetic and Minimalist Design,4.02,3.93,3.79
"Help Users Recognize, Diagnose, and Recover from Errors",4.34,4.28,4.21
Error Prevention,,,
Visibility of System Status,,,
Consistency and Standard,,,
User control and Freedom,,,
Match between System and the Real World,,,
Help and Documentation,,,
Recognition rather than recall,,,
Aesthetic and Minimalist Design,,,
"Help Users Recognize, Diagnose, and Recover from Errors",,,
,,,
Error Prevention,,,
Visibility of System Status,,,
Consistency and Standard,,,
User control and Freedom,,,
Match between System and the Real World,,,
Help and Documentation,,,
Recognition rather than recall,,,
Aesthetic and Minimalist Design,,,
"Help Users Recognize, Diagnose, and Recover from Errors",,,
