site,hit,question,category,worker,worktime,answer
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AK467M5VTG7N4,156,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AK467M5VTG7N4,156,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AK467M5VTG7N4,156,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AK467M5VTG7N4,156,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AK467M5VTG7N4,156,4
andrew,1,The website often did not act as I thought it would,Error Prevention,AK467M5VTG7N4,156,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,AK467M5VTG7N4,156,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A3IFGWZXI17R3D,183,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A3IFGWZXI17R3D,183,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A3IFGWZXI17R3D,183,1
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A3IFGWZXI17R3D,183,3
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A3IFGWZXI17R3D,183,4
andrew,1,The website often did not act as I thought it would,Error Prevention,A3IFGWZXI17R3D,183,2
andrew,1,I found I could navigate the website without any problems,Error Prevention,A3IFGWZXI17R3D,183,4
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A3VOMP0WOJTB4I,743,1
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A3VOMP0WOJTB4I,743,5
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,A3VOMP0WOJTB4I,743,4
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,A3VOMP0WOJTB4I,743,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,A3VOMP0WOJTB4I,743,5
andrew,1,The website often did not act as I thought it would,Error Prevention,A3VOMP0WOJTB4I,743,1
andrew,1,I found I could navigate the website without any problems,Error Prevention,A3VOMP0WOJTB4I,743,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,AMD1LYNQAH3R8,315,2
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,AMD1LYNQAH3R8,315,4
andrew,1,"I could not figure out how to do something, and the website would not help me",Recognition rather than recall,AMD1LYNQAH3R8,315,2
andrew,1,"If I needed help, the website presented it to me in a way that I could understand",Help and Documentation,AMD1LYNQAH3R8,315,5
andrew,1,I could find helpful information on the website if I couldn't understand something,Help and Documentation,AMD1LYNQAH3R8,315,4
andrew,1,The website often did not act as I thought it would,Error Prevention,AMD1LYNQAH3R8,315,2
andrew,1,I found I could navigate the website without any problems,Error Prevention,AMD1LYNQAH3R8,315,5
andrew,1,I had to give the website the same information multiple times to get it to do something,Recognition rather than recall,A3SIR6994WP6V,300,5
andrew,1,I could understand how to do what I wanted to without trouble,Recognition rather than recall,A3SIR6994WP6V,300,5
