site,question,worker,correct
andrew,q1,AK467M5VTG7N4,0
andrew,q2,AK467M5VTG7N4,1
andrew,q4,AK467M5VTG7N4,0
andrew,q1,A3IFGWZXI17R3D,0
andrew,q2,A3IFGWZXI17R3D,1
andrew,q4,A3IFGWZXI17R3D,1
andrew,q1,A3VOMP0WOJTB4I,1
andrew,q2,A3VOMP0WOJTB4I,1
andrew,q4,A3VOMP0WOJTB4I,1
andrew,q1,AMD1LYNQAH3R8,0
andrew,q2,AMD1LYNQAH3R8,1
andrew,q4,AMD1LYNQAH3R8,1
andrew,q1,A3SIR6994WP6V,0
andrew,q2,A3SIR6994WP6V,1
andrew,q4,A3SIR6994WP6V,0
andrew,q1,A2QNKWLPEIFZ2J,1
andrew,q2,A2QNKWLPEIFZ2J,1
andrew,q4,A2QNKWLPEIFZ2J,1
andrew,q1,A1SVUNEZBEG1X8,1
andrew,q2,A1SVUNEZBEG1X8,1
andrew,q4,A1SVUNEZBEG1X8,1
andrew,q1,A1ULLPIT6EU99K,0
andrew,q2,A1ULLPIT6EU99K,0
andrew,q4,A1ULLPIT6EU99K,0
andrew,q1,A30ZBG4SIBCC2A,1
andrew,q2,A30ZBG4SIBCC2A,1
andrew,q4,A30ZBG4SIBCC2A,1
andrew,q1,ADVZ6ZG7MEOKE,1
andrew,q2,ADVZ6ZG7MEOKE,0
andrew,q4,ADVZ6ZG7MEOKE,1
andrew,q1,AYYSG3O9FNU15,1
andrew,q2,AYYSG3O9FNU15,1
andrew,q4,AYYSG3O9FNU15,1
andrew,q1,AEDV0CBBPU0RE,1
andrew,q2,AEDV0CBBPU0RE,1
andrew,q4,AEDV0CBBPU0RE,1
andrew,q1,A19HCBT1EH8484,1
andrew,q2,A19HCBT1EH8484,1
andrew,q4,A19HCBT1EH8484,1
andrew,q1,A10XYFXQYJKBXF,0
andrew,q2,A10XYFXQYJKBXF,1
andrew,q4,A10XYFXQYJKBXF,1
andrew,q1,A19C6T7B0H4PAQ,1
andrew,q2,A19C6T7B0H4PAQ,1
andrew,q4,A19C6T7B0H4PAQ,1
andrew,q1,A3774HPOUKYTX7,1
andrew,q2,A3774HPOUKYTX7,1
andrew,q4,A3774HPOUKYTX7,1
andrew,q1,A1BJPNHVA4LTHD,1
andrew,q2,A1BJPNHVA4LTHD,1
andrew,q4,A1BJPNHVA4LTHD,1
andrew,q1,AAKL8L5X64LWD,1
andrew,q2,AAKL8L5X64LWD,1
andrew,q4,AAKL8L5X64LWD,1
andrew,q1,A2QBY47K90M99E,1
andrew,q2,A2QBY47K90M99E,1
andrew,q4,A2QBY47K90M99E,1
andrew,q1,AQ4PB1PVI9U7V,1
andrew,q2,AQ4PB1PVI9U7V,1
andrew,q4,AQ4PB1PVI9U7V,1
andrew,q1,A3SIR6994WP6V,0
andrew,q2,A3SIR6994WP6V,1
andrew,q4,A3SIR6994WP6V,0
andrew,q1,AUUAFG5DUF89I,0
