site,category,comment
2andrew.csv,aesthetic-minimalist,I thought the website was well spaced.  The sidebar was very helpful
2andrew.csv,error-prevention,I had no problem navigating the website
2andrew.csv,consistency-standards,I found the website very easy to understand
2andrew.csv,help-documentation,I found it very easy to understand
2andrew.csv,aesthetic-minimalist,"It's not overly cluttered, but enough to think of why someone would make this."
2andrew.csv,error-prevention,This website is laid out poorly and ugly.
2andrew.csv,consistency-standards,"I agree, it looks slapped together and ugly."
2andrew.csv,help-documentation,"The website doesn't tell me what it is, it immediately wants to sell me a book I have no knowledge about."
2andrew.csv,aesthetic-minimalist,The site has a clean design and is not cluttered
2andrew.csv,error-prevention,I think the site is easy to navigate
2andrew.csv,consistency-standards,The site is comparable to other sites
2andrew.csv,help-documentation,I was able to easily understand the site
2andrew.csv,aesthetic-minimalist,Website is not cluttered.
2andrew.csv,error-prevention,Website seemed fine.
2andrew.csv,consistency-standards,Website seems normal compared to other websites.
2andrew.csv,help-documentation,Website gives plenty of contact resources.
2andrew.csv,aesthetic-minimalist,Everything is clearly labeled in the bar on the side and the site is the opposite of cluttered.
2andrew.csv,error-prevention,I was never asked to confirm a change before continuing.
2andrew.csv,consistency-standards,I found it very easy to get the information I wanted from this site.  I can't imagine it to be easier anywhere else.
2andrew.csv,help-documentation,There is no elaboration for the new calculations but I'm assuming some of that would be in the book advertised.
2andrew.csv,aesthetic-minimalist,I do agree it is a little cluttered. The layout of information could be put it in drop down tabs on the top of the website.
2andrew.csv,error-prevention,The website was self explanatory
2andrew.csv,consistency-standards,The layout could be a little better and also things more organized. Finding a place where things should go compared to links just placed without any consideration the placement.
2andrew.csv,help-documentation,The documentation is understandable. The other people may not be familiar with the type of material that is on the website.
2andrew.csv,aesthetic-minimalist,"The website was a little cluttered, or could've been set up a little more organized, but it was nothing that pushed me away from the site or gave me any negative feelings toward the site or the way it operated."
2andrew.csv,error-prevention,I didn't have any trouble navigating the site.
2andrew.csv,consistency-standards,"This website was slightly different than some of the other information gathering websites that are comparable to this one, but nothing that was too out of the ordinary or hard to understand in any way."
2andrew.csv,help-documentation,The website had all of the helpful and necessary documentation that I needed. There was nothing about it that was confusing to me in any way.
2andrew.csv,aesthetic-minimalist,"The website was less cluttered, more not finding the right thing right away. As in, it was difficult to find some things right away, or things were not in the places they usually would be with a website."
2andrew.csv,error-prevention,"I felt that the website was very responsive, and did exactly what I wanted it to. I had no issues finding a contact email or running the tennis simulation like described in the HIT."
2andrew.csv,consistency-standards,"I feel that the overall layout of the website could be fixed. It seems really lackluster, and cheap. I feel that it needs some more content and professionalism, as well as more direction."
2andrew.csv,help-documentation,"I really didn't see any extra sections for help or guidance of the website, other than the contact page. Some more helpful navigation tools or frequently asked questions may help the situation."
2andrew.csv,aesthetic-minimalist,It is not cluttered at all. It is very clean. Everything is neatly labeled.
2andrew.csv,error-prevention,I could not click on the website link from this survey. I had to copy and paste the website address from inside the parenthesis. The site was easy to navigate through.
2andrew.csv,consistency-standards,I do not agree with this comment. I feel like this web design is basic and easy to navigate through. I feel like I've seen similar sites.
2andrew.csv,help-documentation,I'm not sure what the point of the tennis simulation part was for. I think the website is trying to convey a simple way to handle equations of business.
2andrew.csv,error-prevention,"I don't see how it would be hard to navigate, there are all the links on the top and left side..."
2andrew.csv,help-documentation,There should be a search bar at the top of the navigation!
2andrew.csv,aesthetic-minimalist,"It's definitely not cluttered, if anything I'd like to see more content on there."
2andrew.csv,error-prevention,I found the website easy to navigate.
2andrew.csv,consistency-standards,I've never really seen a website like this but I had no trouble with it.
2andrew.csv,help-documentation,"I didn't come across this problem, I understood everything."
2andrew.csv,aesthetic-minimalist,It seems quite simple and quite navigable to me. I found myself flowing from page to page with relative ease.
2andrew.csv,error-prevention,The website was relatively easy to navigate and not difficult at all to use.
2andrew.csv,consistency-standards,"No, this site is as simplistic as it gets. Only a fool couldn't navigate this site with ease."
2andrew.csv,help-documentation,"I didn't feel such documentation to be necessary at all. It was really a seamless process for me personally. If people would be more patient and take more time with these things, they would have less complaints."
2andrew.csv,aesthetic-minimalist,it has alot of info
2andrew.csv,error-prevention,easy navigation
2andrew.csv,consistency-standards,seems pretty easy to go to other links
2andrew.csv,help-documentation,some stuff seems kinda useles
2andrew.csv,aesthetic-minimalist,The website was relatively minimalist and easy to understand.
2andrew.csv,error-prevention,I think the page is relatively straightforward and easy to navigate.
2andrew.csv,consistency-standards,I have never used a website similar to this.  I think this website is easy to use and understand and has interesting tools.
2andrew.csv,help-documentation,The website did not explain how some of its probability tools and models work very well.
2andrew.csv,aesthetic-minimalist,the website design looks good and there was no confusion in the website design.
2andrew.csv,error-prevention,the website works well and i find there is no problem.
2andrew.csv,consistency-standards,no. the interface was very easy to work and understand.
2andrew.csv,help-documentation,"no, the website design looks so good and there was no confusion and the website provided everything good for easy understanding."
2andrew.csv,aesthetic-minimalist,the websites looked clear and were easy for me to use. wasn't confusing or cluttered
2andrew.csv,error-prevention,I did not have any issues at all so i disagree. everything was where i had expected it to be.
2andrew.csv,consistency-standards,"it looks like many websites i see today, maybe not with the same content, but it was very accessible."
2andrew.csv,help-documentation,"the website provided everything i was looking for, and in the first places i suspected them to be."
2andrew.csv,aesthetic-minimalist,I thought the website looked nice and clean.
2andrew.csv,error-prevention,I thought the website was fairly easy to navigate and didn't do anything unexpected.
2andrew.csv,consistency-standards,I thought the information was easy to understand and the website was designed well.
2andrew.csv,help-documentation,I didn't have this problem because I didn't have a problem understanding anything.
2andrew.csv,aesthetic-minimalist,it seems fine to me
2andrew.csv,error-prevention,yes seems to run fine
2andrew.csv,consistency-standards,it has alot of links
2andrew.csv,help-documentation,im not sure
2conference.csv,error-prevention,Hire a better coder so it will look better.
2conference.csv,aesthetic-minimalist,I didn't find the website to be cluttered at all. I think it is a very good site visually.
2conference.csv,error-prevention,I agree with this somewhat. The first thing I noticed about the website when I clicked on the home page was a lack of information. The home page should give a good description of what the initiative is all about and have a call to action. It should be more obvious where to go from there.
2conference.csv,visibility-system-status,I agree with this. It took me a little while (or longer than it should have) to figure out the point of the site. This could be improved upon by having more information on the home page.
2conference.csv,consistency-standards,I'm not sure how different this site is to comparable sites but I do think it could be better organized to make actions a little more intuitive.
2conference.csv,aesthetic-minimalist,"The website was not cluttered to me at all. I felt that everything was spaced properly, and the text was very easy to read, as well as organized."
2conference.csv,error-prevention,"The website was very easy to navigate, and I knew exactly where to go to find the information that I needed. Everything that I clicked was responsive, and in working order."
2conference.csv,visibility-system-status,"I thought the website presented itself as easy to use, and I knew exactly what to do with the information once I reached the site."
2conference.csv,consistency-standards,"The website was very similar to websites that I have visited before. All of the information that I needed to access was in their respective places, and in plain view. There was nothing out of place that distracted me."
2conference.csv,aesthetic-minimalist,"Because page content on http://www.harvardusindiainitiative.com/ does not 'hide' behind the menu, when I scrolled down the page started to look cluttered because of the overlapping text and images."
2conference.csv,error-prevention,Navigation seemed fine and I had no problems with the site or links causing behavior that I did not expect
2conference.csv,visibility-system-status,"The underlined heading ""Register Here"" on http://www.harvardindiainitiative.com/#!registration/con8 may have confused some people as they might have thought it was a link"
2conference.csv,consistency-standards,"I was slightly confused about where to sign up for the conference, ""Apply Here"" was on the page and I was expecting to see something like ""Sign up"" or ""Register"""
2conference.csv,aesthetic-minimalist,There is far less clutter on this page than others. I found it realitvely easy to navigate and find information.
